id,year,date,time,pair,direction,outcome,profit,r,lots,slPips,entry,stopLoss,takeProfit,mambaDecision,mambaR,setup,review,source,row,batchId
59,2026,2026-03-11,21:44:00,DJ30,,win,160.89,0.74,3.1,70,47532.45,47602.45,,,,,,TradingNote,113,live-default
60,2026,2026-03-16,21:31:00,DJ30,,loss,-208,-0.93,5.6,40,46990.58,46950.58,,,,,"要等""突破後""的回撤，但我這沒有突破的，只看到回徹而已",TradingNote,120,live-default
61,2026,2026-03-16,21:33:00,NAS100,,be,0,0,9,20,24710.95,24690.95,,,,,,TradingNote,121,live-default
62,2026,2026-03-16,21:41:00,NAS100,,win,333.2,1.57,8.5,25,24697.45,24672.45,24736.65,,,,,TradingNote,122,live-default
63,2026,2026-03-18,21:46:00,DJ30,,loss,-205.12,-1.07,3.2,60,46904.56,46844.56,,,,,No Value...,TradingNote,123,live-default
64,2026,2026-03-18,22:05:00,DJ30,,loss,-207.48,-1.06,2.8,70,46771.46,46841.46,,,,,打掉我馬上反轉.......................................................:),TradingNote,124,live-default
65,2026,2026-03-19,21:43:00,NAS100,,win,313.94,1.59,4.4,45,24237.45,24192.45,24308.8,,,,,TradingNote,125,live-default
66,2026,2026-03-23,21:42:00,NAS100,,win,91.21,0.29,4.4,71,24343.5,24272.5,24374.95,,,,atr超爆大，DJ30就142....了,TradingNote,134,live-default
67,2026,2026-03-24,21:35:00,DJ30,,loss,-210.3,-1.08,3,65,45945.55,45880.55,,,,,突破Candle走不到0.6 ATR，是否動能不足,TradingNote,135,live-default
68,2026,2026-03-24,21:51:00,NAS100,,loss,-239.94,-1.12,4.3,50,23971.51,24021.51,,,,,突破Candle走不到0.6 ATR，是否動能不足,TradingNote,136,live-default
69,2026,2026-03-25,21:51:00,DJ30,,loss,-141.02,-0.85,2.2,75,46726.57,46651.57,,,,,到達LOST 5%，縮小一半手數,TradingNote,137,live-default
70,2026,2026-03-25,21:35:00,NAS100,,win,19.38,0.23,3.4,25,24207.81,24232.81,24202.11,,,,,TradingNote,138,live-default
71,2026,2026-03-26,21:42:00,DJ30,,win,233.7,1.95,3,40,46228.55,46188.55,46306.45,,,,ATR小，回徹噴的成功率比較大?,TradingNote,139,live-default
72,2026,2026-03-30,21:41:00,DJ30,,win,239.7,1.78,3,45,45489.45,45534.45,45409.55,,,,ATR small,TradingNote,145,live-default
73,2026,2026-03-31,21:34:00,NAS100,,loss,-135.72,-0.87,3.9,40,23291.7,23331.7,,,,,ATR big，用單點突破 ok,TradingNote,146,live-default
74,2026,2026-03-31,21:32:00,DJ30,,be,0,0,2.1,70,45623.46,,,,,,ATR big，用單點突破 ok,TradingNote,147,live-default
75,2026,2026-03-31,21:46:00,NAS100,,win,271.95,1.94,3.5,40,23313.7,23273.7,23391.4,,,,ATR big，用單點突破 ok,TradingNote,148,live-default
76,2026,2026-04-01,21:39:00,NAS100,,loss,-152.79,-1.54,3.3,30,24030.45,24000.45,,,,,"ATR big，沒找乾淨的support，要確認沒被""滿足過""的區域，支撐轉壓力1次而已",TradingNote,149,live-default
77,2026,2026-04-02,21:37:00,NAS100,,win,234.37,1.7,4.6,30,23577.35,23607.35,23526.4,,,,atr small 回撤。Mamba沒進場，但我卻賺錢gd,TradingNote,150,live-default
78,2026,2026-04-06,21:32:00,NAS100,,loss,-150.85,-1.08,7,20,24195.7,24175.7,,,,,使用單突破+支撐SL第一天,TradingNote,157,live-default
79,2026,2026-04-06,21:36:00,NAS100,,loss,-158.9,-1.14,7,20,24103.5,24123.5,,,,,,TradingNote,158,live-default
80,2026,2026-04-06,21:43:00,NAS100,,win,273.7,1.96,7,20,24187.45,24167.45,24226.55,,,,,TradingNote,159,live-default
81,2026,2026-04-07,21:32:00,US30,,win,1427.04,2.38,24,25,46512.68,46537.68,46453.22,,,,更改FTMO host,TradingNote,160,live-default
82,2026,2026-04-08,21:30:00,US30,,win,1415,2.36,24,25,47936.62,47911.62,47995.58,,,,,TradingNote,161,live-default
83,2026,2026-04-09,21:31:00,US30,,loss,-841.2,-1.4,30,20,47711.98,47691.98,,,,,,TradingNote,162,live-default
84,2026,2026-04-09,21:36:00,US30,,loss,-871.2,-1.45,30,20,47781.52,47761.52,,,,,,TradingNote,163,live-default
85,2026,2026-04-09,21:40:00,US30,,loss,-792.96,-1.32,24,25,47805.02,47780.02,,,,,,TradingNote,164,live-default
86,2026,2026-04-14,21:35:00,NAS100,,loss,-927.6,-1.55,60,10,25579.58,25569.58,,,,,看錯symbol，看成vantage symbols,TradingNote,172,live-default
87,2026,2026-04-14,22:09:00,US30,,loss,-666.4,-1.11,40,15,48461.68,48446.68,,,,,,TradingNote,173,live-default
88,2026,2026-04-15,21:33:00,US30,,loss,-1190.4,-1.98,40,15,48579.12,48594.12,,,,,,TradingNote,174,live-default
89,2026,2026-04-15,21:44:00,US30,,win,1269.5,2.12,40,15,48538.62,48553.62,48506.88,,,,,TradingNote,175,live-default
90,2026,2026-04-16,21:31:00,DJ30,,win,929.46,4.43,21,10,48639.58,48629.58,48683.84,,,,,TradingNote,176,live-default
91,2026,2026-04-21,21:31:00,DJ30,,loss,-869.19,-4.14,21,10,49674.83,49684.83,,,,,來不及Close，剛好一買就買到最低點，然後馬上反彈,TradingNote,182,live-default
92,2026,2026-04-21,21:46:00,DJ30,,win,47.46,0.23,21,10,49833.57,49823.57,49835.83,,,,,TradingNote,183,live-default
93,2026,2026-04-21,21:57:00,NAS100,,win,467.46,2.23,21,10,26699.21,26689.21,26721.47,,,,,TradingNote,184,live-default
94,2026,2026-04-22,21:59:00,DJ30,,win,6,0.03,14,15,49620.8,49605.8,,,,,,TradingNote,185,live-default
95,2026,2026-04-27,21:30:00,DJ30,,win,692.3,3.3,14,15,48264.78,48249.78,49314.23,,,,,TradingNote,192,live-default
96,2026,2026-04-28,21:41:00,NAS100,,win,619.71,2.95,21,10,27093.1,27083.1,27122.61,,,,,TradingNote,193,live-default
97,2026,2026-04-29,21:30:00,NAS100,,loss,-383,-1.82,21,10,27044.11,27054.11,,,,,來不及設BE，原本應該BE的。增加EA防止這種情況,TradingNote,194,live-default
98,2026,2026-04-29,21:32:00,DJ30,,loss,-77,-0.37,14,15,49017.28,49032.28,,,,,,TradingNote,195,live-default
99,2026,2026-04-29,21:50:00,NAS100,,loss,-267.54,-1.27,21,10,27112.85,27102.85,,,,,,TradingNote,196,live-default
100,2026,2026-05-05,21:34:00,NAS100,,win,326.95,2.52,13,10,27930.2,27920.2,27955.35,,,,,TradingNote,203,live-default
101,2026,2026-05-06,21:30:00,DJ30,,loss,-250.6,-1.19,14,15,49820.13,49805.13,,,,,,TradingNote,204,live-default
102,2026,2026-05-06,21:36:00,DJ30,,win,34,0.16,14,15,49868.78,49853.78,,,,,,TradingNote,205,live-default
103,2026,2026-05-06,21:37:00,DJ30,,loss,-189.7,-0.9,14,15,49880.78,49865.78,,,,,,TradingNote,206,live-default
104,2026,2026-05-06,21:43:00,NAS100,,loss,-225.54,-1.07,21,10,28375.25,28365.25,,,,,"嚴格制定一天最多幾筆交易，因為避免情緒，BE也算。
老實說 如果有Volume就不會讓你連續失敗兩次了",TradingNote,207,live-default
105,2026,2026-05-11,21:30:00,DJ30,,loss,-213.5,-1.02,14,15,49673.93,49658.93,,,,,結構點畫錯,TradingNote,211,live-default
106,2026,2026-05-11,21:39:00,DJ30,,loss,-203.7,-0.97,14,15,49523.23,49508.23,,,,,,TradingNote,212,live-default
107,2026,2026-05-12,21:34:00,DJ30,,win,580,2.76,14,15,49575.23,49590.23,49533.78,,,,,TradingNote,213,live-default
108,2026,2026-05-14,21:34:00,DJ30,,win,958,4.56,14,15,50034.23,50049.23,49965.78,,,,,TradingNote,214,live-default
109,2026,2026-05-18,21:34:00,DJ30,,loss,-231.7,-1.1,14,15,49519.23,49534.23,,,,,,TradingNote,222,live-default
110,2026,2026-05-18,21:47:00,DJ30,,win,20,0.1,14,15,49668.78,49653.78,,,,,一筆就該收了，因為流動性差的天，不管怎麼做都走不遠,TradingNote,223,live-default
111,2026,2026-05-18,21:38:00,DJ30,,loss,-245.7,-1.17,14,15,49676.78,49661.78,,,,,一筆就該收了，因為流動性差的天，不管怎麼做都走不遠,TradingNote,224,live-default
112,2026,2026-05-18,21:49:00,DJ30,,be,0,0,14,15,49700.78,49685.78,,,,,一筆就該收了，因為流動性差的天，不管怎麼做都走不遠,TradingNote,225,live-default
113,2026,2026-05-19,21:31:00,DJ30,,win,593.46,2.83,7,30,49392.4,49422.4,49307.62,,,,,TradingNote,226,live-default
114,2026,2026-05-20,21:31:00,DJ30,,win,579.46,2.76,7,30,49480.4,49510.4,49397.62,,,,,TradingNote,227,live-default
115,2026,2026-05-21,21:31:00,DJ30,,loss,-239.54,-1.14,7,30,49810.42,49840.42,,,,,或許這支撐沒那麼好，但至少一天一筆 守住,TradingNote,228,live-default
116,2026,2026-05-28,21:30:00,DJ30,,win,577.92,2.75,7,30,50547.42,50577.42,50464.86,,,,,TradingNote,234,live-default
117,2026,2026-06-01,21:31:00,DJ30,,loss,-211.54,-1.01,7,30,50854.39,50884.39,,,,,,TradingNote,243,live-default
118,2026,2026-06-03,21:44:00,NAS100,,win,552.3,2.63,8.4,25,30640.02,30665.02,30574.27,,,,,TradingNote,244,live-default
119,2026,2026-06-04,21:44:00,DJ30,,loss,-218.54,-1.04,7,30,51385.62,51355.62,,,,,,TradingNote,245,live-default
120,2026,2026-06-09,21:32:00,DJ30,,loss,-243.1,-0.81,10,30,51221.66,51191.66,,,,,當SL風險更改，要記得EA也要同時改風險金額,TradingNote,257,live-default
121,2026,2026-06-10,21:34:00,DJ30,,be,0,0,10,30,50605.53,50635.53,,,,,,TradingNote,258,live-default
